t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
2.6579999999998183,0.0,0.0,0.050400000000006696,0.0,2.1264088033238037e-14,0.0,0.0,0.0,5.451464159008061e-15,0.0,1.6326326146155002e-14,0.0
2.658999999999818,0.0,0.0,0.0504000000000067,0.0,2.128041694084177e-14,0.0,0.0,0.0,5.4534698413629795e-15,0.0,1.6330057104407682e-14,0.0
2.659999999999818,0.0,0.0,0.05040000000000671,0.0,2.129674528353304e-14,0.0,0.0,0.0,5.455341072802312e-15,0.0,1.6326628278131166e-14,0.0
2.660999999999818,0.0,0.0,0.05040000000000672,0.0,2.1313073061311846e-14,0.0,0.0,0.0,5.457346755157231e-15,0.0,1.6330359236383846e-14,0.0
2.661999999999818,0.0,0.0,0.050400000000006724,0.0,2.132940600200581e-14,0.0,0.0,0.0,5.459379327695267e-15,0.0,1.6335522151542365e-14,0.0
2.6629999999998177,0.0,0.0,0.05040000000000673,0.0,2.1345744105614933e-14,0.0,0.0,0.0,5.4614119002333034e-15,0.0,1.6340685066700884e-14,0.0
2.6639999999998176,0.0,0.0,0.05040000000000674,0.0,2.1362087372139212e-14,0.0,0.0,0.0,5.46344447277134e-15,0.0,1.6345847981859403e-14,0.0
2.6649999999998175,0.0,0.0,0.050400000000006745,0.0,2.137843580157865e-14,0.0,0.0,0.0,5.465477045309376e-15,0.0,1.6351010897017922e-14,0.0
2.6659999999998174,0.0,0.0,0.05040000000000675,0.0,2.1394789393933246e-14,0.0,0.0,0.0,5.467509617847412e-15,0.0,1.635617381217644e-14,0.0
2.6669999999998173,0.0,0.0,0.05040000000000676,0.0,2.1411148149203002e-14,0.0,0.0,0.0,5.469515300202331e-15,0.0,1.635990477042912e-14,0.0
2.667999999999817,0.0,0.0,0.050400000000006766,0.0,2.1427506339560293e-14,0.0,0.0,0.0,5.4713865316416635e-15,0.0,1.6356475944152604e-14,0.0
2.668999999999817,0.0,0.0,0.05040000000000677,0.0,2.1443861101091307e-14,0.0,0.0,0.0,5.473257763080996e-15,0.0,1.6353047117876088e-14,0.0
2.669999999999817,0.0,0.0,0.05040000000000678,0.0,2.1460212433796045e-14,0.0,0.0,0.0,5.475128994520329e-15,0.0,1.6349618291599572e-14,0.0
