t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
5.0510000000000215,-0.7229838918549182,0.22342775262523043,0.1912458635028577,2.246415471452538,1.0119590705406252,-2.557121064865342,3.6049297202913914e-06,5.24585512482478e-06,1.2240390814537872e-05,-1.1782398243985808e-05,1.8445792599974582e-05,-6.722830426805776e-06,-1.6110829743795194e-05,89.27099199967142,-35.37735777701296,1.1289960761503546,2.0126515801818408,2.9217014590903813e-08
5.052000000000022,-0.7229838882537611,0.22342775786498745,0.19124587572728222,2.246415459701011,1.0119590889394376,-2.557121071574543,3.5973591462878365e-06,5.233662459272434e-06,1.2208465051345044e-05,-1.1720935166755695e-05,1.835195173708684e-05,-6.6954242094194875e-06,-1.6076334184599206e-05,89.27099197512463,-35.377357613988956,1.1289960948658562,2.0126515754520455,2.909640649185413e-08
5.053000000000022,-0.7229838846601806,0.22342776309255954,0.1912458879198116,2.246415448010783,1.0119591072446363,-2.557121078256375,3.589776906749113e-06,5.221485246352331e-06,1.2176600450633174e-05,-1.1659798582344014e-05,1.8258564051316817e-05,-6.6680925380726996e-06,-1.6041755220370637e-05,89.27099195092084,-35.37735745073843,1.1289961134826088,2.0126515707321255,2.897619918456815e-08
5.0540000000000225,-0.722983881074188,0.22342776830796218,0.19124590008050696,2.2464154363815285,1.011959125456673,-2.5571210849109125,3.582183303956916e-06,5.209323555064134e-06,1.2144797027876052e-05,-1.1598986795607028e-05,1.81656274751815e-05,-6.640835488585822e-06,-1.600709467861582e-05,89.2709919270575,-35.377357287265546,1.1289961320011586,2.0126515660220043,2.8856392183032262e-08
5.055000000000023,-0.7229838774957946,0.22342777351121093,0.19124591220942952,2.2464154248129233,1.011959143575998,-2.55712109153823,3.5745786374679585e-06,5.197177453607304e-06,1.2113054797454127e-05,-1.1538498119941076e-05,1.807313994974883e-05,-6.613653133248927e-06,-1.5972354364704056e-05,89.27099190353209,-35.377357123574434,1.1289961504220487,2.0126515613216074,2.8736984990611662e-08
5.056000000000023,-0.7229838739250114,0.22342777870232142,0.19124592430664047,2.2464154133046454,1.0119591616030594,-2.557121098138402,3.566963204137542e-06,5.185047009397556e-06,1.208137377267077e-05,-1.1478330877279788e-05,1.7981099424584745e-05,-6.586545540845033e-06,-1.593753607062896e-05,89.27099188034211,-35.377356959669186,1.128996168745819,2.0126515566308605,2.8617977096050986e-08
5.0570000000000235,-0.7229838703618489,0.22342778388130935,0.19124593637220103,2.2464154018563742,1.011959179538303,-2.557121104711503,3.5593372981416497e-06,5.1729322890625e-06,1.204975396575401e-05,-1.141848339798039e-05,1.788950385770537e-05,-6.559512776740417e-06,-1.590264157245756e-05,89.27099185748506,-35.37735679555387,1.1289961869730063,2.012651551949691,2.8499367981904575e-08
5.058000000000024,-0.7229838668063174,0.22342778904819047,0.1912459484061724,2.246415390467791,1.0119591973821727,-2.5571211112576084,3.5517012109911973e-06,5.160833358450733e-06,1.2018195387869505e-05,-1.1358954020824993e-05,1.7798351215587197e-05,-6.532554902896642e-06,-1.5867672625166816e-05,89.27099183495847,-35.377356631232544,1.1289962051041451,2.0126515472780264,2.8381157128269255e-08
5.059000000000024,-0.7229838632584271,0.2234277942029806,0.19124596040861583,2.2464153791385777,1.0119592151351104,-2.557121117776793,3.5440552315562703e-06,5.1487502826374774e-06,1.1986698049126725e-05,-1.1299741092965952e-05,1.7707639473133688e-05,-6.505671977904575e-06,-1.5832630972426553e-05,89.27099181275987,-35.377356466709216,1.128996223139766,2.012651542615796,2.826334400915525e-08
5.0600000000000245,-0.7229838597181876,0.2234277993456956,0.19124597237959257,2.2464153678684196,1.0119592327975564,-2.5571211242691323,3.5363996460785377e-06,5.136683125929916e-06,1.1955261958588464e-05,-1.124084296993282e-05,1.7617366613632628e-05,-6.478864056993208e-06,-1.5797518341815692e-05,89.27099179088684,-35.377356301987874,1.128996241080398,2.0126515379629284,2.8145928084303065e-08
